"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,3351.51,3351.51,3351.51,3351.51,3351.51,3351.51,0,1023.45,1023.45,1023.45,1023.45,1023.45,1023.45,0,2768.73,2768.73,2768.73,2768.73,2768.73,2768.73,0,3232.75,3232.75,3232.75,3232.75,3232.75,3232.75,0,4377.66,4377.66,4377.66,4377.66,4377.66,4377.66,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,0
1,3236.31,3236.31,3236.31,3236.31,3236.31,3236.31,0,928.064,928.064,928.064,928.064,928.064,928.064,0,2686.67,2686.67,2686.67,2686.67,2686.67,2686.67,0,3087.05,3087.05,3087.05,3087.05,3087.05,3087.05,0,4196.35,4196.35,4196.35,4196.35,4196.35,4196.35,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,1
1,3067.51,3067.51,3067.51,3067.51,3067.51,3067.51,0,850.169,850.169,850.169,850.169,850.169,850.169,0,2639.6,2639.6,2639.6,2639.6,2639.6,2639.6,0,2869.42,2869.42,2869.42,2869.42,2869.42,2869.42,0,3990.46,3990.46,3990.46,3990.46,3990.46,3990.46,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,2
1,2933.48,2933.48,2933.48,2933.48,2933.48,2933.48,0,767.527,767.527,767.527,767.527,767.527,767.527,0,2589.47,2589.47,2589.47,2589.47,2589.47,2589.47,0,2692.58,2692.58,2692.58,2692.58,2692.58,2692.58,0,3813.72,3813.72,3813.72,3813.72,3813.72,3813.72,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,3
1,2870.43,2870.43,2870.43,2870.43,2870.43,2870.43,0,688.656,688.656,688.656,688.656,688.656,688.656,0,2531.41,2531.41,2531.41,2531.41,2531.41,2531.41,0,2606.21,2606.21,2606.21,2606.21,2606.21,2606.21,0,3697.92,3697.92,3697.92,3697.92,3697.92,3697.92,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,4
1,2928.5,2928.5,2928.5,2928.5,2928.5,2928.5,0,642.064,642.064,642.064,642.064,642.064,642.064,0,2501.34,2501.34,2501.34,2501.34,2501.34,2501.34,0,2667.43,2667.43,2667.43,2667.43,2667.43,2667.43,0,3712.7,3712.7,3712.7,3712.7,3712.7,3712.7,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,5
1,2811.35,2811.35,2811.35,2811.35,2811.35,2811.35,0,646.338,646.338,646.338,646.338,646.338,646.338,0,2495.23,2495.23,2495.23,2495.23,2495.23,2495.23,0,2531.91,2531.91,2531.91,2531.91,2531.91,2531.91,0,3613.1,3613.1,3613.1,3613.1,3613.1,3613.1,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,6
1,2804.53,2804.53,2804.53,2804.53,2804.53,2804.53,0,674.764,674.764,674.764,674.764,674.764,674.764,0,2466.1,2466.1,2466.1,2466.1,2466.1,2466.1,0,2550.59,2550.59,2550.59,2550.59,2550.59,2550.59,0,3611.43,3611.43,3611.43,3611.43,3611.43,3611.43,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,7
1,2716.72,2716.72,2716.72,2716.72,2716.72,2716.72,0,666.644,666.644,666.644,666.644,666.644,666.644,0,2376.68,2376.68,2376.68,2376.68,2376.68,2376.68,0,2482.49,2482.49,2482.49,2482.49,2482.49,2482.49,0,3500.82,3500.82,3500.82,3500.82,3500.82,3500.82,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,8
1,2606.78,2606.78,2606.78,2606.78,2606.78,2606.78,0,654.914,654.914,654.914,654.914,654.914,654.914,0,2280.06,2280.06,2280.06,2280.06,2280.06,2280.06,0,2389.46,2389.46,2389.46,2389.46,2389.46,2389.46,0,3367.06,3367.06,3367.06,3367.06,3367.06,3367.06,0,0,0,0,0,0,0,0,126.706,126.706,126.706,126.706,126.706,126.706,0,95.3935,95.3935,95.3935,95.3935,95.3935,95.3935,0,4.09324,4.09324,4.09324,4.09324,4.09324,4.09324,0,1,9
