"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,83.1779,83.1779,83.1779,83.1779,83.1779,83.1779,0,126.269,126.269,126.269,126.269,126.269,126.269,0,350.056,350.056,350.056,350.056,350.056,350.056,0,-80.855,-80.855,-80.855,-80.855,-80.855,-80.855,0,380.816,380.816,380.816,380.816,380.816,380.816,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,0
1,109.268,109.268,109.268,109.268,109.268,109.268,0,87.1111,87.1111,87.1111,87.1111,87.1111,87.1111,0,335.92,335.92,335.92,335.92,335.92,335.92,0,-81.9267,-81.9267,-81.9267,-81.9267,-81.9267,-81.9267,0,356.571,356.571,356.571,356.571,356.571,356.571,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,1
1,143.028,143.028,143.028,143.028,143.028,143.028,0,40.3663,40.3663,40.3663,40.3663,40.3663,40.3663,0,324.492,324.492,324.492,324.492,324.492,324.492,0,-83.6369,-83.6369,-83.6369,-83.6369,-83.6369,-83.6369,0,337.519,337.519,337.519,337.519,337.519,337.519,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,2
1,164.21,164.21,164.21,164.21,164.21,164.21,0,16.9374,16.9374,16.9374,16.9374,16.9374,16.9374,0,332.351,332.351,332.351,332.351,332.351,332.351,0,-79.1153,-79.1153,-79.1153,-79.1153,-79.1153,-79.1153,0,342.058,342.058,342.058,342.058,342.058,342.058,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,3
1,164.534,164.534,164.534,164.534,164.534,164.534,0,35.1991,35.1991,35.1991,35.1991,35.1991,35.1991,0,363.173,363.173,363.173,363.173,363.173,363.173,0,-82.9773,-82.9773,-82.9773,-82.9773,-82.9773,-82.9773,0,374.191,374.191,374.191,374.191,374.191,374.191,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,4
1,157.159,157.159,157.159,157.159,157.159,157.159,0,55.434,55.434,55.434,55.434,55.434,55.434,0,372.974,372.974,372.974,372.974,372.974,372.974,0,-96.6202,-96.6202,-96.6202,-96.6202,-96.6202,-96.6202,0,389.253,389.253,389.253,389.253,389.253,389.253,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,5
1,147.82,147.82,147.82,147.82,147.82,147.82,0,47.3915,47.3915,47.3915,47.3915,47.3915,47.3915,0,340.012,340.012,340.012,340.012,340.012,340.012,0,-93.7078,-93.7078,-93.7078,-93.7078,-93.7078,-93.7078,0,355.859,355.859,355.859,355.859,355.859,355.859,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,6
1,135.789,135.789,135.789,135.789,135.789,135.789,0,36.1647,36.1647,36.1647,36.1647,36.1647,36.1647,0,304.472,304.472,304.472,304.472,304.472,304.472,0,-78.9952,-78.9952,-78.9952,-78.9952,-78.9952,-78.9952,0,316.625,316.625,316.625,316.625,316.625,316.625,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,7
1,128.402,128.402,128.402,128.402,128.402,128.402,0,51.4897,51.4897,51.4897,51.4897,51.4897,51.4897,0,311.459,311.459,311.459,311.459,311.459,311.459,0,-84.7521,-84.7521,-84.7521,-84.7521,-84.7521,-84.7521,0,326.865,326.865,326.865,326.865,326.865,326.865,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,8
1,119.635,119.635,119.635,119.635,119.635,119.635,0,78.0429,78.0429,78.0429,78.0429,78.0429,78.0429,0,319.154,319.154,319.154,319.154,319.154,319.154,0,-111.919,-111.919,-111.919,-111.919,-111.919,-111.919,0,347.096,347.096,347.096,347.096,347.096,347.096,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,9
1,112.007,112.007,112.007,112.007,112.007,112.007,0,71.3183,71.3183,71.3183,71.3183,71.3183,71.3183,0,278.936,278.936,278.936,278.936,278.936,278.936,0,-126.331,-126.331,-126.331,-126.331,-126.331,-126.331,0,314.406,314.406,314.406,314.406,314.406,314.406,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,10
1,111.968,111.968,111.968,111.968,111.968,111.968,0,38.8065,38.8065,38.8065,38.8065,38.8065,38.8065,0,231.362,231.362,231.362,231.362,231.362,231.362,0,-111.57,-111.57,-111.57,-111.57,-111.57,-111.57,0,259.773,259.773,259.773,259.773,259.773,259.773,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,11
1,121.585,121.585,121.585,121.585,121.585,121.585,0,22.1906,22.1906,22.1906,22.1906,22.1906,22.1906,0,226.491,226.491,226.491,226.491,226.491,226.491,0,-106.424,-106.424,-106.424,-106.424,-106.424,-106.424,0,251.23,251.23,251.23,251.23,251.23,251.23,0,0,0,0,0,0,0,0,123.39,123.39,123.39,123.39,123.39,123.39,0,107.397,107.397,107.397,107.397,107.397,107.397,0,38.4426,38.4426,38.4426,38.4426,38.4426,38.4426,0,1,12
